종목명,시가총액
삼성전자,11442660
SK하이닉스,7041499
삼성전자우,1112989
현대차,1025836
LG에너지솔루션,882180
SK스퀘어,780635
삼성바이오로직스,722602
한화에어로스페이스,687856
두산에너빌리티,664902
기아,626613
HD현대중공업,549997
KB금융,549209
삼성물산,481884
셀트리온,451006
삼성생명,445000
신한지주,430512
한화오션,384855
현대모비스,356579
미래에셋증권,351515
HD현대일렉트릭,342448
삼성전기,337616
NAVER,337233
고려아연,324157
삼성SDI,322745
한국전력,303970
하나금융지주,299200
한미반도체,287843
POSCO홀딩스,273149
HD한국조선해양,271061
LS ELECTRIC,256500
효성중공업,254840
SK,247597
한화시스템,240305
삼성중공업,239800
우리금융지주,237474
LG화학,220248
카카오,215627
삼성화재,215332
HD현대,199063
현대로템,194055
두산,190439
HMM,188176
기업은행,187395
LG전자,186749
SK이노베이션,185958
메리츠금융지주,182183
KT&G,178666
포스코퓨처엠,177537
KODEX 200,177010
한국항공우주,173018
현대건설,173270
현대글로비스,165750
SK텔레콤,163348
KT,147685
TIGER 미국S&P500,146874
LIG넥스원,145860
LG,136023
포스코인터내셔널,134229
삼성에피스홀딩스,129392
하이브,128988
DB손해보험,127736
에이피알,126167
S-Oil,122490
삼성에스디에스,121483
한국금융지주,120090
NH투자증권,119375
카카오뱅크,114491
현대오토에버,112438
크래프톤,111401
키움증권,108910
이수페타시스,92569
대한항공,91319
삼양식품,90170
현대차2우B,90032
LS,89232
한화,86952
삼성증권,86264
TIGER 반도체TOP10,84714
카카오페이,81946
KODEX CD금리액티브(합성),81197
한진칼,80716
아모레퍼시픽,80135
한화솔루션,80102
HD현대마린솔루션,79710
TIGER 미국나스닥100,78854
KODEX 미국S&P500,78645
유한양행,76063
KODEX 머니마켓액티브,74635
TIGER 200,74262
SK바이오팜,73458
대우건설,73191
KODEX 코스닥150,71061
LG이노텍,69581
삼성E&A,69188
삼성카드,68936
한국타이어앤테크놀로지,68627
한미약품,66489
LG유플러스,66108
HD건설기계,64957
한전기술,63331
